GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,TRUSTA,RES_ONLYA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RNGE001,RNGE002,RNGE003,RNGE004,RNGE005,RNGE006,RNGE007,RNGE008,RNGE009,RNGE010,RNGE011,RNGE012,RNGE013,RNGE014,RNGE015,RNGE016,RNGE017,RNHE001,NAME_M,RNGM001,RNGM002,RNGM003,RNGM004,RNGM005,RNGM006,RNGM007,RNGM008,RNGM009,RNGM010,RNGM011,RNGM012,RNGM013,RNGM014,RNGM015,RNGM016,RNGM017,RNHM001,GEOID10
"G41003303607022","2005-2009",,,"Oregon","41","Josephine County","033",,,"360702","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3607.02, Josephine County, Oregon",390,24,31,68,12,29,64,6,15,23,53,14,51,0,0,0,0,33382,"Block Group 2, Census Tract 3607.02, Josephine County, Oregon",101,36,27,84,19,34,63,10,25,25,45,22,36,123,123,123,123,6796,"410333607022"
"G41003303607023","2005-2009",,,"Oregon","41","Josephine County","033",,,"360702","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3607.02, Josephine County, Oregon",794,88,19,75,56,36,28,27,34,63,81,109,109,13,46,0,10,46349,"Block Group 3, Census Tract 3607.02, Josephine County, Oregon",116,62,30,78,44,36,31,31,40,76,51,63,58,20,36,123,16,13110,"410333607023"
"G41003303608001","2005-2009",,,"Oregon","41","Josephine County","033",,,"360800","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3608, Josephine County, Oregon",547,26,46,45,110,26,21,17,22,12,134,25,49,14,0,0,0,34940,"Block Group 1, Census Tract 3608, Josephine County, Oregon",124,28,35,45,93,27,23,26,28,19,84,28,40,22,123,123,123,18982,"410333608001"
"G41003303608002","2005-2009",,,"Oregon","41","Josephine County","033",,,"360800","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3608, Josephine County, Oregon",419,30,22,10,32,37,33,37,11,13,18,69,27,45,11,14,10,41932,"Block Group 2, Census Tract 3608, Josephine County, Oregon",74,34,25,15,31,42,39,33,17,23,28,59,32,35,17,21,16,20283,"410333608002"
"G41003303608003","2005-2009",,,"Oregon","41","Josephine County","033",,,"360800","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3608, Josephine County, Oregon",1096,104,53,24,83,48,55,32,62,63,111,168,196,36,10,22,29,51667,"Block Group 3, Census Tract 3608, Josephine County, Oregon",111,66,46,28,61,40,54,35,45,41,51,83,71,36,16,24,33,9785,"410333608003"
"G41003303609001","2005-2009",,,"Oregon","41","Josephine County","033",,,"360900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3609, Josephine County, Oregon",821,98,14,13,49,24,92,94,110,56,31,57,73,54,23,15,18,42208,"Block Group 1, Census Tract 3609, Josephine County, Oregon",106,64,22,20,40,29,78,93,74,41,31,45,53,45,32,24,22,5964,"410333609001"
"G41003303609002","2005-2009",,,"Oregon","41","Josephine County","033",,,"360900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3609, Josephine County, Oregon",290,27,45,12,28,43,11,0,0,12,41,45,26,0,0,0,0,26919,"Block Group 2, Census Tract 3609, Josephine County, Oregon",72,14,38,20,33,35,17,123,123,19,35,36,28,123,123,123,123,17261,"410333609002"
"G41003303610001","2005-2009",,,"Oregon","41","Josephine County","033",,,"361000","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3610, Josephine County, Oregon",341,12,68,14,17,41,9,37,18,8,30,14,40,20,0,0,13,36188,"Block Group 1, Census Tract 3610, Josephine County, Oregon",76,18,54,17,21,28,14,38,20,12,30,23,56,21,123,123,20,10808,"410333610001"
"G41003303610002","2005-2009",,,"Oregon","41","Josephine County","033",,,"361000","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3610, Josephine County, Oregon",527,60,42,25,20,10,20,46,37,35,64,33,75,43,0,0,17,45515,"Block Group 2, Census Tract 3610, Josephine County, Oregon",81,41,44,30,22,15,22,49,35,33,40,35,42,37,123,123,20,9615,"410333610002"
"G41003303610003","2005-2009",,,"Oregon","41","Josephine County","033",,,"361000","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3610, Josephine County, Oregon",456,80,23,22,9,0,27,25,28,0,30,9,124,28,23,19,9,55682,"Block Group 3, Census Tract 3610, Josephine County, Oregon",75,58,27,24,15,123,26,30,26,123,27,15,65,25,27,20,15,30545,"410333610003"
"G41003303610004","2005-2009",,,"Oregon","41","Josephine County","033",,,"361000","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 3610, Josephine County, Oregon",607,89,50,35,59,28,51,47,30,8,85,38,25,31,9,22,0,32083,"Block Group 4, Census Tract 3610, Josephine County, Oregon",93,66,36,28,35,24,36,37,47,14,71,30,25,46,15,35,123,8975,"410333610004"
"G41003303611001","2005-2009",,,"Oregon","41","Josephine County","033",,,"361100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3611, Josephine County, Oregon",561,0,107,32,53,22,33,23,45,0,82,33,76,8,27,11,9,42604,"Block Group 1, Census Tract 3611, Josephine County, Oregon",96,123,70,29,34,26,25,27,47,123,69,37,45,13,31,19,16,13426,"410333611001"
"G41003303611002","2005-2009",,,"Oregon","41","Josephine County","033",,,"361100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3611, Josephine County, Oregon",1842,124,114,114,89,154,134,132,195,51,233,223,142,53,38,36,10,41442,"Block Group 2, Census Tract 3611, Josephine County, Oregon",178,77,64,90,46,85,61,70,87,49,119,116,67,58,39,33,18,3494,"410333611002"
"G41003303611003","2005-2009",,,"Oregon","41","Josephine County","033",,,"361100","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3611, Josephine County, Oregon",855,50,109,62,74,43,21,95,35,48,140,36,35,58,11,38,0,37792,"Block Group 3, Census Tract 3611, Josephine County, Oregon",132,38,65,72,52,42,23,74,33,52,110,31,39,49,18,40,123,9585,"410333611003"
"G41003303612001","2005-2009",,,"Oregon","41","Josephine County","033",,,"361200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3612, Josephine County, Oregon",868,164,271,16,33,111,32,15,15,49,17,50,30,53,0,0,12,14971,"Block Group 1, Census Tract 3612, Josephine County, Oregon",172,105,140,26,53,120,32,24,24,44,27,47,32,85,123,123,20,20164,"410333612001"
"G41003303612002","2005-2009",,,"Oregon","41","Josephine County","033",,,"361200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3612, Josephine County, Oregon",759,56,74,32,58,55,51,17,10,88,60,108,139,0,11,0,0,45860,"Block Group 2, Census Tract 3612, Josephine County, Oregon",117,46,44,28,48,47,69,27,17,55,49,61,104,123,18,123,123,11924,"410333612002"
"G41003303612003","2005-2009",,,"Oregon","41","Josephine County","033",,,"361200","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3612, Josephine County, Oregon",731,98,100,39,17,38,45,102,66,33,45,50,44,36,0,18,0,37096,"Block Group 3, Census Tract 3612, Josephine County, Oregon",130,84,76,47,28,47,38,60,57,36,44,46,39,36,123,21,123,8454,"410333612003"
"G41003303612004","2005-2009",,,"Oregon","41","Josephine County","033",,,"361200","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 3612, Josephine County, Oregon",574,40,31,20,94,42,33,18,44,36,104,14,75,23,0,0,0,41184,"Block Group 4, Census Tract 3612, Josephine County, Oregon",96,38,48,30,91,40,32,25,38,31,59,20,48,27,123,123,123,13491,"410333612004"
"G41003303613001","2005-2009",,,"Oregon","41","Josephine County","033",,,"361300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3613, Josephine County, Oregon",826,17,38,39,15,30,17,74,41,39,136,134,117,54,30,9,36,56535,"Block Group 1, Census Tract 3613, Josephine County, Oregon",110,20,37,35,23,32,25,59,40,36,83,74,55,43,33,14,36,5428,"410333613001"
"G41003303613002","2005-2009",,,"Oregon","41","Josephine County","033",,,"361300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3613, Josephine County, Oregon",791,67,13,15,55,14,23,54,103,40,58,155,77,31,28,15,43,50958,"Block Group 2, Census Tract 3613, Josephine County, Oregon",135,79,20,23,65,23,26,64,77,59,45,82,55,36,31,25,37,12822,"410333613002"
"G41003303613003","2005-2009",,,"Oregon","41","Josephine County","033",,,"361300","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3613, Josephine County, Oregon",529,0,14,46,13,28,24,151,0,61,34,131,12,15,0,0,0,39589,"Block Group 3, Census Tract 3613, Josephine County, Oregon",108,123,23,44,20,33,26,82,123,53,53,71,19,23,123,123,123,11145,"410333613003"
"G41003303613004","2005-2009",,,"Oregon","41","Josephine County","033",,,"361300","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 3613, Josephine County, Oregon",879,115,70,47,15,54,77,12,32,78,95,47,31,84,42,63,17,45911,"Block Group 4, Census Tract 3613, Josephine County, Oregon",142,85,56,46,24,43,54,21,39,49,78,40,36,73,39,78,25,9902,"410333613004"
"G41003303614001","2005-2009",,,"Oregon","41","Josephine County","033",,,"361400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3614, Josephine County, Oregon",501,48,10,43,21,47,47,15,30,37,54,31,69,19,9,9,12,44125,"Block Group 1, Census Tract 3614, Josephine County, Oregon",96,51,15,38,22,35,55,18,27,32,36,28,53,23,16,14,20,11393,"410333614001"
"G41003303614002","2005-2009",,,"Oregon","41","Josephine County","033",,,"361400","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3614, Josephine County, Oregon",640,45,20,10,19,47,84,59,44,0,73,90,47,93,9,0,0,44167,"Block Group 2, Census Tract 3614, Josephine County, Oregon",112,41,24,15,21,57,38,59,33,123,56,65,52,64,16,123,123,25716,"410333614002"
"G41003303615001","2005-2009",,,"Oregon","41","Josephine County","033",,,"361500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3615, Josephine County, Oregon",1011,147,77,92,115,0,79,58,30,61,161,37,120,18,0,0,16,34732,"Block Group 1, Census Tract 3615, Josephine County, Oregon",110,75,59,61,66,123,51,52,28,44,63,28,74,21,123,123,20,8085,"410333615001"
"G41003303616001","2005-2009",,,"Oregon","41","Josephine County","033",,,"361600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3616, Josephine County, Oregon",392,108,83,42,50,8,37,19,7,0,8,0,27,0,0,0,3,17566,"Block Group 1, Census Tract 3616, Josephine County, Oregon",80,52,54,35,44,9,24,20,8,123,14,123,21,123,123,123,6,7834,"410333616001"
"G41003303616002","2005-2009",,,"Oregon","41","Josephine County","033",,,"361600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3616, Josephine County, Oregon",518,99,53,50,33,35,30,30,11,78,3,20,30,42,0,4,0,26875,"Block Group 2, Census Tract 3616, Josephine County, Oregon",132,57,35,34,24,27,19,29,18,70,5,18,31,53,123,6,123,11049,"410333616002"
"G41003303616003","2005-2009",,,"Oregon","41","Josephine County","033",,,"361600","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3616, Josephine County, Oregon",589,145,31,121,29,81,14,0,15,0,12,126,15,0,0,0,0,19942,"Block Group 3, Census Tract 3616, Josephine County, Oregon",122,94,34,93,32,56,20,123,24,123,19,81,23,123,123,123,123,9689,"410333616003"
"G41003303616004","2005-2009",,,"Oregon","41","Josephine County","033",,,"361600","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 3616, Josephine County, Oregon",580,146,35,27,34,52,54,0,9,0,62,69,70,0,11,11,0,29750,"Block Group 4, Census Tract 3616, Josephine County, Oregon",113,91,34,30,40,43,44,123,14,123,61,52,52,123,17,19,123,14477,"410333616004"
"G41003303616005","2005-2009",,,"Oregon","41","Josephine County","033",,,"361600","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 3616, Josephine County, Oregon",331,67,115,14,0,0,13,53,0,15,0,14,15,10,15,0,0,14592,"Block Group 5, Census Tract 3616, Josephine County, Oregon",100,64,80,22,123,123,20,57,123,24,123,22,22,17,25,123,123,14335,"410333616005"
"G41003303616006","2005-2009",,,"Oregon","41","Josephine County","033",,,"361600","6",,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 3616, Josephine County, Oregon",408,13,34,29,73,34,13,0,0,21,17,114,60,0,0,0,0,45952,"Block Group 6, Census Tract 3616, Josephine County, Oregon",115,21,38,33,60,26,20,123,123,33,29,77,67,123,123,123,123,37153,"410333616006"
"G41003303616007","2005-2009",,,"Oregon","41","Josephine County","033",,,"361600","7",,,,,,,,,,,,,,,,,,,,,,"Block Group 7, Census Tract 3616, Josephine County, Oregon",478,91,65,0,48,59,52,26,25,0,61,14,24,0,0,13,0,27778,"Block Group 7, Census Tract 3616, Josephine County, Oregon",103,74,61,123,58,51,60,22,20,123,61,20,35,123,123,21,123,8060,"410333616007"
"G41003509701001","2005-2009",,,"Oregon","41","Klamath County","035",,,"970100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9701, Klamath County, Oregon",161,14,44,0,0,31,0,40,0,0,32,0,0,0,0,0,0,26815,"Block Group 1, Census Tract 9701, Klamath County, Oregon",93,22,51,123,123,47,123,51,123,123,36,123,123,123,123,123,123,21096,"410359701001"
"G41003509701002","2005-2009",,,"Oregon","41","Klamath County","035",,,"970100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9701, Klamath County, Oregon",833,75,20,139,89,0,59,92,71,0,112,45,66,38,27,0,0,38438,"Block Group 2, Census Tract 9701, Klamath County, Oregon",127,51,22,83,65,123,51,65,63,123,58,38,44,37,42,123,123,4437,"410359701002"
"G41003509701003","2005-2009",,,"Oregon","41","Klamath County","035",,,"970100","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9701, Klamath County, Oregon",297,16,26,62,45,0,24,0,0,9,72,14,13,16,0,0,0,24955,"Block Group 3, Census Tract 9701, Klamath County, Oregon",94,26,31,64,53,123,28,123,123,14,69,21,21,26,123,123,123,26103,"410359701003"
"G41003509702001","2005-2009",,,"Oregon","41","Klamath County","035",,,"970200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9702, Klamath County, Oregon",351,68,26,33,97,0,15,28,44,0,0,12,11,17,0,0,0,22795,"Block Group 1, Census Tract 9702, Klamath County, Oregon",126,69,32,53,75,123,23,33,58,123,123,18,17,26,123,123,123,4292,"410359702001"
"G41003509702002","2005-2009",,,"Oregon","41","Klamath County","035",,,"970200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9702, Klamath County, Oregon",345,86,34,30,14,8,27,36,0,10,0,9,30,25,36,0,0,30046,"Block Group 2, Census Tract 9702, Klamath County, Oregon",95,77,28,27,17,13,22,29,123,18,123,15,26,27,54,123,123,17353,"410359702002"
"G41003509702003","2005-2009",,,"Oregon","41","Klamath County","035",,,"970200","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9702, Klamath County, Oregon",604,82,34,47,24,61,44,18,29,67,57,67,37,29,8,0,0,38462,"Block Group 3, Census Tract 9702, Klamath County, Oregon",119,71,30,34,24,51,46,22,24,48,58,43,31,22,15,123,123,16200,"410359702003"
"G41003509702004","2005-2009",,,"Oregon","41","Klamath County","035",,,"970200","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9702, Klamath County, Oregon",367,63,32,38,43,10,36,12,20,9,67,9,13,15,0,0,0,26875,"Block Group 4, Census Tract 9702, Klamath County, Oregon",90,46,30,28,32,15,28,18,19,14,56,14,15,24,123,123,123,11069,"410359702004"
"G41003509703001","2005-2009",,,"Oregon","41","Klamath County","035",,,"970300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9703, Klamath County, Oregon",255,22,27,26,12,24,14,0,9,10,43,33,0,10,25,0,0,40694,"Block Group 1, Census Tract 9703, Klamath County, Oregon",81,26,44,47,19,31,22,123,13,16,35,31,123,16,28,123,123,29181,"410359703001"
"G41003509703002","2005-2009",,,"Oregon","41","Klamath County","035",,,"970300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9703, Klamath County, Oregon",327,10,20,0,0,11,25,13,9,15,37,104,0,75,0,0,8,63295,"Block Group 2, Census Tract 9703, Klamath County, Oregon",70,17,23,123,123,16,27,20,14,26,30,66,123,50,123,123,14,8763,"410359703002"
"G41003509703003","2005-2009",,,"Oregon","41","Klamath County","035",,,"970300","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9703, Klamath County, Oregon",396,9,68,0,25,8,37,0,33,23,78,21,33,22,31,8,0,46957,"Block Group 3, Census Tract 9703, Klamath County, Oregon",87,14,46,123,41,14,36,123,31,28,67,23,32,25,29,14,123,9506,"410359703003"
"G41003509703004","2005-2009",,,"Oregon","41","Klamath County","035",,,"970300","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9703, Klamath County, Oregon",353,0,0,9,42,38,15,0,0,15,59,25,83,54,13,0,0,59659,"Block Group 4, Census Tract 9703, Klamath County, Oregon",103,123,123,13,58,46,22,123,123,23,68,27,51,56,19,123,123,28117,"410359703004"
"G41003509704001","2005-2009",,,"Oregon","41","Klamath County","035",,,"970400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9704, Klamath County, Oregon",634,26,48,41,22,70,38,23,13,69,30,82,67,87,0,16,2,48804,"Block Group 1, Census Tract 9704, Klamath County, Oregon",85,25,30,28,22,53,28,22,18,50,22,54,45,65,123,26,4,5971,"410359704001"
"G41003509705001","2005-2009",,,"Oregon","41","Klamath County","035",,,"970500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9705, Klamath County, Oregon",361,53,22,101,21,3,8,8,6,34,62,9,34,0,0,0,0,23036,"Block Group 1, Census Tract 9705, Klamath County, Oregon",96,60,25,85,23,5,12,13,11,27,35,15,30,123,123,123,123,20776,"410359705001"
"G41003509705002","2005-2009",,,"Oregon","41","Klamath County","035",,,"970500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9705, Klamath County, Oregon",249,32,0,0,29,0,0,18,9,0,17,29,45,0,33,10,27,68021,"Block Group 2, Census Tract 9705, Klamath County, Oregon",58,35,123,123,38,123,123,22,14,123,28,33,34,123,32,17,28,33823,"410359705002"
"G41003509706001","2005-2009",,,"Oregon","41","Klamath County","035",,,"970600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9706, Klamath County, Oregon",204,19,9,17,0,0,0,0,8,7,10,36,91,7,0,0,0,69000,"Block Group 1, Census Tract 9706, Klamath County, Oregon",50,22,13,19,123,123,123,123,12,11,15,27,44,10,123,123,123,14192,"410359706001"
"G41003509706002","2005-2009",,,"Oregon","41","Klamath County","035",,,"970600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9706, Klamath County, Oregon",226,3,69,0,10,28,35,0,17,6,14,21,16,7,0,0,0,30375,"Block Group 2, Census Tract 9706, Klamath County, Oregon",77,5,28,123,14,21,44,123,16,11,21,21,16,10,123,123,123,3611,"410359706002"
"G41003509707001","2005-2009",,,"Oregon","41","Klamath County","035",,,"970700","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9707, Klamath County, Oregon",343,55,0,4,11,8,0,0,40,64,34,35,20,23,40,0,9,49570,"Block Group 1, Census Tract 9707, Klamath County, Oregon",79,55,123,7,17,10,123,123,27,66,29,29,20,28,45,123,15,7957,"410359707001"
"G41003509707002","2005-2009",,,"Oregon","41","Klamath County","035",,,"970700","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9707, Klamath County, Oregon",439,16,55,39,11,36,0,43,54,39,20,33,68,2,12,11,0,42438,"Block Group 2, Census Tract 9707, Klamath County, Oregon",82,17,53,27,15,25,123,39,37,49,23,27,38,4,17,15,123,5732,"410359707002"
"G41003509708001","2005-2009",,,"Oregon","41","Klamath County","035",,,"970800","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9708, Klamath County, Oregon",740,41,30,80,94,24,36,57,36,66,59,49,131,26,0,0,11,40741,"Block Group 1, Census Tract 9708, Klamath County, Oregon",93,34,29,51,82,25,37,41,37,45,38,36,93,30,123,123,17,9017,"410359708001"
"G41003509708002","2005-2009",,,"Oregon","41","Klamath County","035",,,"970800","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9708, Klamath County, Oregon",237,10,0,10,10,8,0,63,0,8,11,55,43,19,0,0,0,57159,"Block Group 2, Census Tract 9708, Klamath County, Oregon",66,16,123,17,16,13,123,51,123,14,17,43,48,26,123,123,123,24028,"410359708002"
"G41003509709001","2005-2009",,,"Oregon","41","Klamath County","035",,,"970900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9709, Klamath County, Oregon",736,38,10,13,46,13,10,0,64,3,104,20,143,89,66,27,90,86667,"Block Group 1, Census Tract 9709, Klamath County, Oregon",101,38,16,20,31,20,15,123,49,8,52,21,58,47,54,31,48,8177,"410359709001"
"G41003509709002","2005-2009",,,"Oregon","41","Klamath County","035",,,"970900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9709, Klamath County, Oregon",580,87,69,23,66,45,25,17,8,21,40,33,83,26,22,0,15,28750,"Block Group 2, Census Tract 9709, Klamath County, Oregon",91,54,63,26,35,45,23,23,12,19,35,30,51,24,26,123,23,12167,"410359709002"
"G41003509709003","2005-2009",,,"Oregon","41","Klamath County","035",,,"970900","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9709, Klamath County, Oregon",396,26,20,54,38,21,21,0,50,21,24,43,17,24,0,37,0,43400,"Block Group 3, Census Tract 9709, Klamath County, Oregon",92,32,24,55,34,26,25,123,36,22,35,36,22,28,123,36,123,16274,"410359709003"
"G41003509710001","2005-2009",,,"Oregon","41","Klamath County","035",,,"971000","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9710, Klamath County, Oregon",368,0,0,48,0,15,10,29,28,42,67,9,9,12,34,8,57,50698,"Block Group 1, Census Tract 9710, Klamath County, Oregon",82,123,123,43,123,24,17,32,25,47,44,14,15,18,34,15,29,6311,"410359710001"
"G41003509710002","2005-2009",,,"Oregon","41","Klamath County","035",,,"971000","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9710, Klamath County, Oregon",686,10,26,9,0,0,54,80,8,9,45,152,91,78,25,45,54,71681,"Block Group 2, Census Tract 9710, Klamath County, Oregon",69,15,24,14,123,123,37,46,12,15,33,75,51,46,24,32,34,3110,"410359710002"
"G41003509711001","2005-2009",,,"Oregon","41","Klamath County","035",,,"971100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9711, Klamath County, Oregon",367,83,11,58,0,9,0,75,14,23,10,51,15,0,18,0,0,37981,"Block Group 1, Census Tract 9711, Klamath County, Oregon",129,90,32,89,123,22,123,46,23,26,21,46,24,123,27,123,123,25123,"410359711001"
"G41003509711002","2005-2009",,,"Oregon","41","Klamath County","035",,,"971100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9711, Klamath County, Oregon",1032,4,35,75,47,125,41,28,20,36,80,175,141,136,26,17,46,61736,"Block Group 2, Census Tract 9711, Klamath County, Oregon",156,7,35,65,42,82,40,32,25,35,66,108,77,87,40,28,40,10720,"410359711002"
"G41003509711003","2005-2009",,,"Oregon","41","Klamath County","035",,,"971100","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9711, Klamath County, Oregon",430,38,23,35,6,0,16,17,30,27,47,44,75,37,16,19,0,56848,"Block Group 3, Census Tract 9711, Klamath County, Oregon",85,42,34,40,13,123,26,28,33,31,45,42,54,45,26,29,123,19081,"410359711003"
"G41003509711004","2005-2009",,,"Oregon","41","Klamath County","035",,,"971100","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9711, Klamath County, Oregon",242,0,0,9,11,24,0,0,0,25,61,89,0,23,0,0,0,54167,"Block Group 4, Census Tract 9711, Klamath County, Oregon",93,123,123,19,18,35,123,123,123,28,44,79,123,28,123,123,123,23662,"410359711004"
"G41003509712001","2005-2009",,,"Oregon","41","Klamath County","035",,,"971200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9712, Klamath County, Oregon",393,85,14,18,21,0,15,51,50,11,54,54,10,10,0,0,0,38125,"Block Group 1, Census Tract 9712, Klamath County, Oregon",92,54,22,28,23,123,22,32,53,17,40,48,16,17,123,123,123,5787,"410359712001"
"G41003509712002","2005-2009",,,"Oregon","41","Klamath County","035",,,"971200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9712, Klamath County, Oregon",407,90,41,69,9,23,0,0,83,0,0,3,65,0,24,0,0,20972,"Block Group 2, Census Tract 9712, Klamath County, Oregon",91,64,37,55,14,37,123,123,74,123,123,7,63,123,38,123,123,25689,"410359712002"
"G41003509712003","2005-2009",,,"Oregon","41","Klamath County","035",,,"971200","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9712, Klamath County, Oregon",266,40,17,0,30,17,0,0,21,27,18,36,41,12,0,7,0,46538,"Block Group 3, Census Tract 9712, Klamath County, Oregon",70,36,20,123,36,19,123,123,31,29,24,41,40,18,123,11,123,18810,"410359712003"
"G41003509713001","2005-2009",,,"Oregon","41","Klamath County","035",,,"971300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9713, Klamath County, Oregon",226,31,17,13,0,8,7,0,0,0,48,84,8,10,0,0,0,58036,"Block Group 1, Census Tract 9713, Klamath County, Oregon",94,35,27,20,123,13,12,123,123,123,39,90,15,16,123,123,123,14142,"410359713001"
"G41003509713002","2005-2009",,,"Oregon","41","Klamath County","035",,,"971300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9713, Klamath County, Oregon",293,0,13,16,33,0,26,0,20,74,14,79,18,0,0,0,0,46719,"Block Group 2, Census Tract 9713, Klamath County, Oregon",76,123,20,27,37,123,31,123,30,79,25,64,27,123,123,123,123,6251,"410359713002"
"G41003509713003","2005-2009",,,"Oregon","41","Klamath County","035",,,"971300","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9713, Klamath County, Oregon",314,31,48,28,0,52,0,13,20,0,38,60,13,11,0,0,0,29904,"Block Group 3, Census Tract 9713, Klamath County, Oregon",82,26,45,24,123,64,123,20,31,123,43,57,20,19,123,123,123,20802,"410359713003"
"G41003509713004","2005-2009",,,"Oregon","41","Klamath County","035",,,"971300","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9713, Klamath County, Oregon",218,20,17,30,0,15,14,0,0,0,13,32,32,34,0,11,0,58750,"Block Group 4, Census Tract 9713, Klamath County, Oregon",56,34,28,33,123,23,22,123,123,123,20,33,37,31,123,18,123,46702,"410359713004"
